run_id,study_group,scenario,city,controller,seed,days,demand_scale,perfect_forecast,parameter_draw,recovery_fraction_it,recovery_fraction_captured,it_heat_mwh,captured_mwh,absorbed_mwh,compressor_mwh,dhw_delivered_mwh,process_delivered_mwh,dhw_hp_mwh,process_hp_mwh,absorption_heat_mwh,absorption_cooling_mwh,orc_heat_mwh,orc_electric_mwh,store_charge_mwh,store_charge_commanded_mwh,store_discharge_mwh,store_discharge_dhw_mwh,store_discharge_process_mwh,dumped_heat_mwh,surplus_cooling_mwh,store_net_change_mwh,store_standing_loss_mwh,buffer_net_change_mwh,buffer_standing_loss_mwh,rejected_mwh,unmet_demand_percent,fallback_demand_percent,cooling_electric_saving_percent,net_cost_inr,max_source_residual_kw,max_hp_residual_kw,max_store_residual_kw,max_buffer_residual_kw,max_service_residual_kw,max_balance_residual_kw,mpc_solves,mpc_time_limited_solves,parameters_json
sweep__C__tuned__seed1__days30__scale5__perfect0__drawnone,sweep,C,Coimbatore,tuned,1,30,5.0,False,-1,0.3749252805983554,0.5356075437119364,2320.075643933272,1624.05295075329,869.8550118110923,283.9329793376669,807.2271571943098,254.80185842563245,803.2686816964766,317.0137997055522,0.0,0.0,0.0,0.0,33.50550974673022,33.50550974673022,33.29328898556639,33.29328898556639,0.0,91.54675476765286,0.0,-0.3002439609445789,0.5124647221084245,0.125,0.2283681524982908,753.8445707896997,0.0,40.92696527051992,59.36238711377613,7233905.539899662,0.0,4.547473508864641e-13,4.547473508864641e-13,7.815970093361102e-14,3.240741008880832e-13,4.547473508864641e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__tuned__seed2__days30__scale1__perfect0__drawnone,sweep,B,Bhopal,tuned,2,30,1.0,False,-1,0.075531018672907,0.10790145524701,2059.540285443439,1441.6781998104077,155.55917575743274,48.31941638492444,150.69232651127675,42.34244813030992,77.98806168523579,33.57868177799495,0.0,0.0,0.0,0.0,92.31184867912644,92.31184867912644,92.4475372909836,76.55877126631908,15.888766024664536,10.979506112627702,0.0,-0.5372484428122113,0.4015598309550489,0.125,0.2283681524982908,1285.7656559004763,0.0,32.9306643005254,11.369815234845856,3870083.803073344,0.0,1.4210854715202006e-13,4.799494135454552e-13,7.815970093361102e-14,1.7053025658242404e-13,4.799494135454552e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__C__tuned__seed2__days30__scale5__perfect0__drawnone,sweep,C,Coimbatore,tuned,2,30,5.0,False,-1,0.3752018559130598,0.5360026513043712,2325.2874190490447,1627.7011933343313,872.4521551584904,284.80467308030126,808.613116555442,254.91253860586852,805.5657299485072,318.18558854355405,0.0,0.0,0.0,0.0,33.50550974673022,33.50550974673022,33.292873697171785,33.292873697171785,0.0,93.51853702792228,0.0,-0.3002439609445789,0.5128800105030186,0.125,0.2283681524982908,754.8956700233426,0.0,40.95657631973325,59.35212591528593,7231103.435926225,0.0,3.410605131648481e-13,4.817257703848554e-13,7.815970093361102e-14,2.273736754432321e-13,4.817257703848554e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__tuned__seed3__days30__scale1__perfect0__drawnone,sweep,B,Bhopal,tuned,3,30,1.0,False,-1,0.07531823196363,0.1075974742337572,2055.5952007413107,1438.9166405189176,154.82379615275883,48.09236873695009,149.64457990122042,42.40599670698331,76.40315178017624,33.432870275019816,0.0,0.0,0.0,0.0,93.08014283451284,93.08014283451284,93.21850991458528,77.16271909134308,16.05579082324221,11.003955361577578,0.0,-0.5403862521422668,0.4020191720698366,0.125,0.2283681524982908,1283.7394762136605,0.0,33.701794650143064,11.224957139316086,4136143.830282764,0.0,1.7053025658242404e-13,4.813927034774679e-13,7.815970093361102e-14,1.7053025658242404e-13,4.813927034774679e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__C__tuned__seed3__days30__scale5__perfect0__drawnone,sweep,C,Coimbatore,tuned,3,30,5.0,False,-1,0.3753849107888361,0.5362641582697658,2320.833291159544,1624.583303811681,871.2057979576864,284.3664069388885,807.3294104396482,254.90909356762748,804.6303198807517,317.4356511309511,0.0,0.0,0.0,0.0,33.506233884871904,33.506233884871904,33.29402762526821,33.29402762526821,0.0,93.12149462969543,0.0,-0.3002439609445789,0.5124502205482914,0.125,0.2283681524982908,753.0241377014964,0.0,41.2073262857723,59.20191783388915,7272415.303618468,0.0,4.547473508864641e-13,4.547473508864641e-13,7.815970093361102e-14,2.273736754432321e-13,4.547473508864641e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__tuned__seed4__days30__scale1__perfect0__drawnone,sweep,B,Bhopal,tuned,4,30,1.0,False,-1,0.075540871308907,0.1079155304412957,2058.004684093304,1440.603278865313,155.4634669942201,48.27543660731621,150.51400155602337,42.16185522033251,77.46957994614486,33.42397412761109,0.0,0.0,0.0,0.0,92.84534952778034,92.84534952778034,92.9944915976494,77.0517212070064,15.942770390643002,11.212188895049438,0.0,-0.5500826412446579,0.4009405713756125,0.125,0.2283681524982908,1284.7864437185945,0.0,33.48819394792635,11.434474834878609,4019538.947921543,0.0,1.7053025658242404e-13,4.827249711070183e-13,7.815970093361102e-14,1.7053025658242404e-13,4.827249711070183e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__C__tuned__seed4__days30__scale5__perfect0__drawnone,sweep,C,Coimbatore,tuned,4,30,5.0,False,-1,0.3757478216394437,0.5367826023420625,2323.5536755892144,1626.48757291245,873.07023206497,284.9056863211391,810.7205755833152,254.54588432693407,807.0064828492953,317.463296104743,0.0,0.0,0.0,0.0,33.50613943207081,33.50613943207081,33.293886736371746,33.293886736371746,0.0,92.4972057801608,0.0,-0.3002439609445789,0.5124966566436667,0.125,0.2283681524982908,753.0639726949818,0.0,41.09576740485859,59.45945920146074,7280775.166587332,0.0,4.547473508864641e-13,4.736211423050918e-13,7.815970093361102e-14,4.547473508864641e-13,4.736211423050918e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__mpc__seed0__days30__scale2__perfect0__drawnone,sweep,B,Bhopal,mpc,0,30,2.0,False,-1,0.1548445737712509,0.2212065339589299,2057.4003033027075,1440.180212311895,318.5772730417502,97.67300096766316,312.4251953895285,86.51290174184453,236.53721653475,55.882033299055664,0.8199505462826501,0.6080962022058798,0.0,0.0,122.94193641736533,123.011073629325,123.0460278572465,83.28203892879219,39.76398892845432,16.596317771638834,0.0002278867346166,-0.6821286527699322,0.5780372128887656,0.125,0.2283681524982908,1121.2495711176468,0.0,30.55485330387315,22.74791496898247,4575182.101827797,0.0,2.842170943040401e-13,4.831690603168681e-13,7.815970093361102e-14,2.54463117244086e-13,4.831690603168681e-13,1440,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__mpc__seed1__days30__scale2__perfect0__drawnone,sweep,B,Bhopal,mpc,1,30,2.0,False,-1,0.1547154325529819,0.22102204650426,2054.9241417694693,1438.4468992386282,317.9284774574287,97.51415378357837,312.59196012617207,86.2297410305651,233.56842547150003,56.227515576483874,0.7358810440482055,0.5442648747783598,0.0,0.0,124.89168163218136,124.910809148975,125.03128595151765,85.87535025088916,39.15593570062849,16.02465335955798,0.0016921361482528,-0.7057888873209597,0.5661845679846931,0.125,0.2283681524982908,1120.1650536287016,0.0,30.579746769115044,22.339317110188,4679307.028756706,0.0,2.842170943040401e-13,4.827249711070183e-13,7.815970093361102e-14,2.40252262528884e-13,4.827249711070183e-13,1440,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__mpc__seed2__days30__scale2__perfect0__drawnone,sweep,B,Bhopal,mpc,2,30,2.0,False,-1,0.155150438180728,0.2216434831153258,2059.540285443439,1441.6781998104077,319.53857773741134,97.98196241097956,313.7657500990605,86.43624506753271,237.97528739305,56.04010953648595,0.966859392005,0.7164100465100188,0.0,0.0,122.50017454708168,122.53828382685,122.55075106281402,83.13542257923187,39.41532848358212,16.402262105525082,0.0042354710740608,-0.620431403381081,0.5698548876487428,0.125,0.2283681524982908,1121.7862539204978,0.0,30.351069756053487,22.60572216057414,4575278.810115803,0.0,2.842170943040401e-13,4.813927034774679e-13,7.815970093361102e-14,2.273736754432321e-13,4.813927034774679e-13,1440,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__mpc__seed3__days30__scale2__perfect0__drawnone,sweep,B,Bhopal,mpc,3,30,2.0,False,-1,0.1547801412473499,0.2211144874962141,2055.5952007413107,1438.9166405189176,318.16531551811465,97.59232164382574,311.93624082534564,86.53827489932122,230.3387450533,55.88278655265784,1.1750190957075002,0.8596718371905183,0.0,0.0,128.2381958752792,128.361086460275,128.33924074444215,88.60635344441387,39.732887300028295,16.209147210728943,0.0098719952355227,-0.6616397116628422,0.5605948424998607,0.125,0.2283681524982908,1120.3979568483048,0.0,31.07247987022347,22.4075238859076,4801841.6816894,0.0,3.410605131648481e-13,4.828359934094806e-13,7.815970093361102e-14,2.557953848736361e-13,4.828359934094806e-13,1440,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__mpc__seed4__days30__scale2__perfect0__drawnone,sweep,B,Bhopal,mpc,4,30,2.0,False,-1,0.1551567008509634,0.2216524297870906,2058.004684093304,1440.603278865313,319.31321711974635,97.8851103002198,313.8665010004388,86.12235025916608,235.17949190475,55.68353975831364,1.0197658359775,0.7548164854301779,0.00150966435,0.0001102658332129,125.2929507007424,125.314020256575,125.42993036543233,85.91191088884985,39.51801947658248,16.325180324723636,0.0,-0.7063501080785451,0.5693704433886199,0.125,0.2283681524982908,1120.9366935930682,0.0,30.831538648371875,22.6880433147884,4704967.239122066,0.0,2.273736754432321e-13,4.831690603168681e-13,7.815970093361102e-14,2.2792878695554464e-13,4.831690603168681e-13,1440,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__tuned__seed0__days30__scale2__perfect0__drawnone,sweep,B,Bhopal,tuned,0,30,2.0,False,-1,0.1557614059283476,0.2225162941833538,2057.4003033027075,1440.180212311895,320.4635637998386,101.18706144675252,312.49184757455777,83.68271688693964,242.58661730513265,84.65205016015747,0.0,0.0,0.0,0.0,94.411957781301,94.411957781301,94.60439304080948,78.1849930806492,16.41939996016027,25.66849604460224,0.0,-0.5500826412446579,0.357647381736186,0.125,0.2283681524982908,1119.3632803595583,0.0,31.140876310807705,22.498919380069086,4679853.358397128,0.0,2.842170943040401e-13,4.829470157119431e-13,7.815970093361102e-14,2.273736754432321e-13,4.829470157119431e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__tuned__seed1__days30__scale2__perfect0__drawnone,sweep,B,Bhopal,tuned,1,30,2.0,False,-1,0.1558332937057783,0.2226189910082548,2054.9241417694693,1438.4468992386282,320.2255973274562,101.10799279357668,312.6834161068875,83.59987561796198,242.1240343330455,84.55222140014172,0.0,0.0,0.0,0.0,94.65733438784568,94.65733438784568,94.85045001944596,78.57036306039521,16.28008695905076,25.24341402778376,0.0,-0.5500826412446579,0.3569670096443547,0.125,0.2283681524982908,1117.867933758674,0.0,31.115596213482103,22.46214176947157,4775593.019803669,0.0,2.557953848736361e-13,4.798383912429929e-13,7.815970093361102e-14,2.273736754432321e-13,4.798383912429929e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__tuned__seed2__days30__scale2__perfect0__drawnone,sweep,B,Bhopal,tuned,2,30,2.0,False,-1,0.1561837852788389,0.2231196932554842,2059.540285443439,1441.6781998104077,321.6667977148169,101.52531061092937,313.8304136654295,83.9713306485211,244.17898703901244,84.57788886959766,0.0,0.0,0.0,0.0,94.4352324171361,94.4352324171361,94.62824900930993,77.87104360769258,16.757205401617323,25.583380603969403,0.0,-0.5500826412446579,0.3570660490708607,0.125,0.2283681524982908,1119.6580339430925,0.0,30.89250685331953,22.41925951234441,4675437.292179488,0.0,2.842170943040401e-13,4.781730567060549e-13,7.815970093361102e-14,2.273736754432321e-13,4.781730567060549e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__tuned__seed3__days30__scale2__perfect0__drawnone,sweep,B,Bhopal,tuned,3,30,2.0,False,-1,0.1557709238001145,0.2225298911430207,2055.5952007413107,1438.9166405189176,320.20196337855583,101.13385806470426,312.00475539071954,83.93575501300593,241.620686623592,84.85946776067964,0.0,0.0,0.0,0.0,94.8556670589885,94.8556670589885,95.04884300281296,78.65191640249498,16.396926600318025,25.588486983359125,0.0,-0.5500826412446579,0.3569066974201837,0.125,0.2283681524982908,1118.3613089878634,0.0,31.658249278195505,22.45143121517997,4905894.033404222,0.0,2.842170943040401e-13,4.760636329592671e-13,7.815970093361102e-14,2.557953848736361e-13,4.760636329592671e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__tuned__seed4__days30__scale2__perfect0__drawnone,sweep,B,Bhopal,tuned,4,30,2.0,False,-1,0.1561879517856705,0.2231256454081007,2058.004684093304,1440.603278865313,321.4355363738491,101.4442897148886,313.93585942413944,83.51497876391885,243.83274150629887,84.44155344676375,0.0,0.0,0.0,0.0,94.6055311356751,94.6055311356751,94.7993737755896,78.40211721774274,16.397256557846887,25.622830540594,0.0,-0.5500826412446579,0.356240001330141,0.125,0.2283681524982908,1118.8143743389653,0.0,31.399881886908485,22.7038857753908,4808611.806882421,0.0,2.842170943040401e-13,4.714006962558417e-13,7.815970093361102e-14,2.557953848736361e-13,4.714006962558417e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__A__tuned__seed3__days30__scale0.5__perfect0__drawnone,sweep,A,Nagpur,tuned,3,30,0.5,False,-1,0.0496193455178471,0.0708847793112102,2486.60709767094,1740.6249683696583,123.38381674646548,46.984052174469575,51.68453254709163,26.381210860495017,32.24692527144233,22.933004438572507,85.14793334090677,54.37968214810433,0.0,0.0,30.04000587001341,30.04000587001341,29.21392919782146,20.7765102559086,8.437418941912865,6.328115500249653,2.0925481904912666,0.1150350033189997,0.7110416688729482,0.125,0.2283681524982908,1616.8877834706948,0.0,20.38287215528464,7.270285121239301,5410801.060323319,0.0,1.4210854715202006e-13,4.677369602745787e-13,7.815970093361102e-14,8.526512829121202e-14,4.677369602745787e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
