scenario,parameter_draw,mpc_improvement_percent,max_balance_residual_kw
B,4,1.4876286139609074,4.817257703848554e-13
B,5,1.264473289899574,4.826694599557868e-13
B,6,1.0321184207275496,4.818923038385492e-13
B,7,1.315788835607572,4.831690603168681e-13
B,8,1.9522181152149685,4.816702592336244e-13
B,9,1.5965159487716836,4.827249711070183e-13
B,10,1.0353478332306225,4.829470157119431e-13
B,11,1.7733078473628503,4.818367926873179e-13
B,12,1.2961183688439242,4.831690603168681e-13
B,13,0.9534382795218777,4.828359934094806e-13
B,14,1.2541347126594342,4.82280881897168e-13
B,15,1.9453480535603422,4.821698595947055e-13
B,16,1.6127963455130905,4.830580380144056e-13
B,17,1.6647676763889936,4.82502926502093e-13
B,18,1.096609446357324,4.831690603168681e-13
B,19,1.8638006429971357,4.827249711070183e-13
B,20,1.4322135749475589,4.831690603168681e-13
B,21,1.2329681834583859,4.800604358479177e-13
B,22,1.7955276226600208,4.829470157119431e-13
B,23,1.8291397953770205,4.821698595947055e-13
B,24,1.5459717192695668,4.829470157119431e-13
B,25,0.9352854254409293,4.82502926502093e-13
B,26,1.1605720005965923,4.831690603168681e-13
B,27,2.067824382677599,4.823363930483995e-13
B,28,0.8785518112575333,4.830580380144056e-13
B,29,1.4638083113375124,4.831690603168681e-13
B,30,1.9651256615948618,4.827249711070183e-13
B,31,2.000187496624325,4.831690603168681e-13
B,32,1.249172239909471,4.816147480823929e-13
B,33,2.1369888469758216,4.831690603168681e-13
B,34,1.3511428154756897,4.829470157119431e-13
B,35,1.2242295712235403,4.817257703848554e-13
B,36,1.3534306566927385,4.818367926873179e-13
B,37,1.0635933388090835,4.816147480823929e-13
B,38,1.8901451248754315,4.831690603168681e-13
B,39,1.6026846145302385,4.831690603168681e-13
B,40,1.4449962932391265,4.829470157119431e-13
B,41,1.2884151767852408,4.831690603168681e-13
B,42,1.2863732701961383,4.818367926873179e-13
B,43,1.6460600822844316,4.831690603168681e-13
B,44,2.0938063341685558,4.831690603168681e-13
B,45,1.2294214563431929,4.827249711070183e-13
B,46,0.8634554405033519,4.827249711070183e-13
B,47,1.7615873535582578,4.831690603168681e-13
B,48,1.0595524252459723,4.830580380144056e-13
B,49,1.6538980271460633,4.830580380144056e-13
C,0,5.8852639812735825,4.809486142676178e-13
C,1,5.488133360328939,4.831690603168681e-13
C,2,6.357109970308691,4.818367926873179e-13
C,3,5.794159236301357,4.821698595947055e-13
C,4,5.157506817784936,4.82280881897168e-13
C,5,6.9219376572305995,4.810596365700803e-13
C,6,5.23374772417572,4.828915045607118e-13
C,7,6.1015027947865805,4.818367926873179e-13
C,8,6.158981377414101,4.831690603168681e-13
C,9,4.914005673562279,4.812816811750056e-13
C,10,4.86948674974303,4.82280881897168e-13
C,11,5.540410056940726,4.818367926873179e-13
C,12,5.553984039472378,4.828359934094806e-13
C,13,5.173189538836861,4.827249711070183e-13
C,14,5.870803706165523,4.827249711070183e-13
C,15,6.267229214820207,4.831690603168681e-13
C,16,5.35643696518287,4.828359934094806e-13
C,17,5.540882640240121,4.829470157119431e-13
C,18,6.0264145762432335,4.831690603168681e-13
C,19,6.1078580435275995,4.815037257799304e-13
C,20,6.377131846681373,4.831690603168681e-13
C,21,6.169813243338651,4.82502926502093e-13
C,22,4.854956629756779,4.829470157119431e-13
C,23,5.5656322381720384,4.812816811750056e-13
C,24,5.395280419010587,4.82502926502093e-13
C,25,4.865464882359332,4.826139488045555e-13
C,26,5.581130062031128,4.799494135454552e-13
C,27,6.699480957797677,4.826139488045555e-13
C,28,5.233471441544887,4.807265696626928e-13
C,29,5.4896551258621145,4.821698595947055e-13
C,30,4.843827257618501,4.831690603168681e-13
C,31,6.489399618189391,4.829470157119431e-13
C,32,5.003914151913424,4.831690603168681e-13
C,33,6.2185953271875825,4.831690603168681e-13
C,34,6.461263128114302,4.827249711070183e-13
C,35,5.953788639330568,4.827804822582493e-13
C,36,5.000691104622194,4.821698595947055e-13
C,37,6.053969381789216,4.831690603168681e-13
C,38,6.986327804682267,4.829470157119431e-13
C,39,5.672211563550726,4.829470157119431e-13
C,40,5.887766201258779,4.831690603168681e-13
C,41,4.8208580005432475,4.809486142676178e-13
C,42,4.921976678922733,4.831690603168681e-13
C,43,5.84848233569981,4.813927034774679e-13
C,44,6.112979774676324,4.82280881897168e-13
C,45,5.449207242987399,4.816147480823929e-13
C,46,4.609415194492947,4.82280881897168e-13
C,47,6.217112416434802,4.829470157119431e-13
C,48,5.991638562486944,4.802824804528427e-13
C,49,5.622304081503902,4.831690603168681e-13
