run_id,study_group,scenario,city,controller,seed,days,demand_scale,perfect_forecast,parameter_draw,recovery_fraction_it,recovery_fraction_captured,it_heat_mwh,captured_mwh,absorbed_mwh,compressor_mwh,dhw_delivered_mwh,process_delivered_mwh,dhw_hp_mwh,process_hp_mwh,absorption_heat_mwh,absorption_cooling_mwh,orc_heat_mwh,orc_electric_mwh,store_charge_mwh,store_discharge_mwh,store_discharge_dhw_mwh,store_discharge_process_mwh,dumped_heat_mwh,surplus_cooling_mwh,store_net_change_mwh,store_standing_loss_mwh,buffer_net_change_mwh,buffer_standing_loss_mwh,rejected_mwh,unmet_demand_percent,fallback_demand_percent,cooling_electric_saving_percent,net_cost_inr,max_source_residual_kw,max_hp_residual_kw,max_store_residual_kw,max_buffer_residual_kw,max_service_residual_kw,max_balance_residual_kw,mpc_solves,mpc_time_limited_solves,parameters_json
monte_carlo__C__tuned__seed100352__days30__scale1__perfect0__draw35,monte_carlo,C,Coimbatore,tuned,100352,30,1.0,False,35,0.1205620121001198,0.177238597693742,2320.063610482038,1578.1637900527082,279.71153707998315,81.44380566468597,195.7489300328648,75.70853327500755,165.1692741094763,96.50140263577087,62.07878751615877,38.11459978529571,0.0,0.0,37.405878483263166,37.49005037608591,37.47538033235758,0.0146700437283441,27.70326381346076,1.4796423783632071,-0.3000927843356986,0.2159208915129449,0.125,0.2283681524982908,1298.098884820227,0.0,14.053088280000498,19.21830185570607,2694198.99715122,0.0,2.273736754432321e-13,4.827804822582493e-13,7.815970093361102e-14,8.526512829121202e-14,4.827804822582493e-13,0,0,"{""absorption_nominal_cop"": 0.6115729527432494, ""capture_fraction"": 0.680224362350485, ""hp_eta2"": 0.5181381005372397, ""mechanical_chiller_nominal_cop"": 4.611290664889511, ""orc_eta2"": 0.4729033488237681, ""store_loss_per_day"": 0.005730708567236127}"
sweep__A__tuned__seed1__days30__scale5__perfect0__drawnone,sweep,A,Nagpur,tuned,1,30,5.0,False,-1,0.3140311311597288,0.4486159016567556,2485.7953327856485,1740.0567329499538,780.6171201862518,276.6025481847364,539.6194963905685,257.29140356875683,532.8009912232684,311.325038086582,178.204897957293,117.43061012036742,0.0,0.0,34.888741103844616,35.07943773452643,23.58275243812796,11.496685296398468,82.29456708505151,2.2921786418961783,-0.5500826412446579,0.3593860105628355,0.125,0.2283681524982908,959.0862446112038,0.0,44.36778361719466,45.50291372514684,8952661.739535192,0.0,5.115907697472721e-13,4.625189120588402e-13,7.815970093361102e-14,2.273736754432321e-13,5.115907697472721e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__C__tuned__seed1__days30__scale2__perfect0__drawnone,sweep,C,Coimbatore,tuned,1,30,2.0,False,-1,0.1943199190199569,0.2775998843142242,2320.075643933272,1624.05295075329,450.8369112492879,150.26778817890292,393.3870992189788,150.95496354193887,374.0262711204143,193.54193956860885,0.0,0.0,0.0,0.0,33.5364887391677,33.322166199146146,33.322166199146146,0.0,56.54831412725155,0.0,-0.3002439609445789,0.5145665009661611,0.125,0.2283681524982908,1172.8626713515043,0.0,24.30541655346863,28.81865845581716,3333152.638243636,0.0,3.410605131648481e-13,4.691802502065913e-13,7.815970093361102e-14,1.7053025658242404e-13,4.691802502065913e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__A__tuned__seed2__days30__scale5__perfect0__drawnone,sweep,A,Nagpur,tuned,2,30,5.0,False,-1,0.3115610337655625,0.4450871910936608,2491.379377552548,1743.965564286783,776.2167343724757,274.3428714667252,541.7561220354702,256.97652369638115,535.3968973230528,310.4828154240568,169.6989825824169,111.58835411663524,0.0,0.0,34.98091050967417,35.168607409918984,23.400016705299556,11.768590704619426,82.31567442517735,2.565690997129902,-0.5500826412446579,0.3623857409998413,0.125,0.2283681524982908,967.3954617618097,0.0,44.47240658714652,45.10817782741754,8949310.987867076,0.0,4.547473508864641e-13,4.547473508864641e-13,7.815970093361102e-14,2.273736754432321e-13,4.547473508864641e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__C__tuned__seed2__days30__scale2__perfect0__drawnone,sweep,C,Coimbatore,tuned,2,30,2.0,False,-1,0.1947598941178925,0.2782284201684179,2325.2874190490447,1627.7011933343313,452.8727315276596,150.9387955530567,394.8174402567134,151.31989574626155,375.931893016577,194.34489979736267,0.0,0.0,0.0,0.0,33.5347342667765,33.320301036129386,33.320301036129386,0.0,57.4597578470942,0.0,-0.3002439609445789,0.5146771915917089,0.125,0.2283681524982908,1174.4750936541734,0.0,24.200657594045182,28.904002232345224,3274578.5856988886,0.0,3.979039320256561e-13,4.618527782440651e-13,7.815970093361102e-14,2.273736754432321e-13,4.618527782440651e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
monte_carlo__B__tuned__seed100091__days30__scale1__perfect0__draw9,monte_carlo,B,Bhopal,tuned,100091,30,1.0,False,9,0.0756341137464088,0.1039101905340719,2060.338906898785,1499.6787749074265,155.8319072405343,46.65192236357521,148.93750445026276,42.34178816290018,75.95334449506547,33.326079812225466,0.0,0.0,0.0,0.0,93.2044052968186,93.03912448950996,76.93694109837548,16.102183391134506,11.039256183637972,0.0,-0.5386874034976644,0.7039682108062677,0.125,0.2283681524982908,1343.493499514394,0.0,33.332304094974226,10.923453230205068,3700900.979235552,0.0,1.7053025658242404e-13,4.778399897986674e-13,7.815970093361102e-14,8.526512829121202e-14,4.778399897986674e-13,0,0,"{""absorption_nominal_cop"": 0.6785131134982512, ""capture_fraction"": 0.727879656053643, ""hp_eta2"": 0.46287771249013027, ""mechanical_chiller_nominal_cop"": 6.011286491651191, ""orc_eta2"": 0.5759160600046427, ""store_loss_per_day"": 0.02610186759327688}"
monte_carlo__C__tuned__seed100222__days30__scale1__perfect0__draw22,monte_carlo,C,Coimbatore,tuned,100222,30,1.0,False,22,0.0977003531992635,0.1326962542812633,2322.724246463377,1710.1536173203629,226.9309792639652,71.83019988655738,194.5292949222272,75.94075715300897,164.33328061058685,96.63091952083272,0.0,0.0,0.0,0.0,37.796979019103006,37.24208066743723,37.21780450383916,0.0242761635980755,27.73622872362063,0.0,-0.3003678967732834,0.8552662484390552,0.125,0.2283681524982908,1482.8692699039,0.0,24.978200232788893,12.045686030688548,2521481.520041356,0.0,1.4210854715202006e-13,4.685141163918162e-13,7.815970093361102e-14,8.526512829121202e-14,4.685141163918162e-13,0,0,"{""absorption_nominal_cop"": 0.7930752935704657, ""capture_fraction"": 0.7362706184017646, ""hp_eta2"": 0.46811759244649226, ""mechanical_chiller_nominal_cop"": 6.016128781244493, ""orc_eta2"": 0.4692119416792144, ""store_loss_per_day"": 0.022536672687737323}"
monte_carlo__A__tuned__seed100360__days30__scale1__perfect0__draw36,monte_carlo,A,Nagpur,tuned,100360,30,1.0,False,36,0.108640895513369,0.1366631294506099,2484.703981720622,1975.2252618898112,269.9404656597621,98.25159699880388,107.8998158429726,54.17123119051424,71.86521812319818,47.38049084261596,193.3844766111689,117.30041353359154,0.0,0.0,55.56187708158293,55.77196981559311,38.85894489882638,16.913024916766727,12.946631747920405,5.533421819168781,-0.5477864079335577,0.3376936739233746,0.125,0.2283681524982908,1704.931428077551,0.0,15.130643101323235,14.045367317387017,6290910.437913207,0.0,3.410605131648481e-13,4.826694599557868e-13,7.815970093361102e-14,5.684341886080803e-14,4.826694599557868e-13,0,0,"{""absorption_nominal_cop"": 0.6887093514579231, ""capture_fraction"": 0.7949539568580705, ""hp_eta2"": 0.46777806836932967, ""mechanical_chiller_nominal_cop"": 5.579345762630111, ""orc_eta2"": 0.5825606182795628, ""store_loss_per_day"": 0.009293928433102712}"
sweep__A__tuned__seed3__days30__scale5__perfect0__drawnone,sweep,A,Nagpur,tuned,3,30,5.0,False,-1,0.3170626668719271,0.4529466669598959,2486.60709767094,1740.6249683696583,788.410277850211,280.1014374962761,538.6976466482619,258.2228546858286,532.3846150405091,312.4680360611899,188.88591995759123,123.97771160838424,0.0,0.0,34.773144287196864,34.96404405417547,23.385298190058727,11.578745864116742,82.89619382178398,2.7499743719704184,-0.5500826412446579,0.3591828742660412,0.125,0.2283681524982908,951.8613223669493,0.0,44.64190028142463,45.94472717770402,9102346.372639254,0.0,4.547473508864641e-13,4.697353617189037e-13,7.815970093361102e-14,2.273736754432321e-13,4.697353617189037e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__C__tuned__seed3__days30__scale2__perfect0__drawnone,sweep,C,Coimbatore,tuned,3,30,2.0,False,-1,0.1943792460295707,0.277684637185101,2320.833291159544,1624.583303811681,451.12182529591934,150.43145971755857,392.5245937293888,151.50091221074138,373.7083085242219,194.3105299736781,0.0,0.0,0.0,0.0,33.53444651557797,33.320373028478805,33.320373028478805,0.0,57.31370558624866,0.0,-0.3002439609445789,0.5143174480437595,0.125,0.2283681524982908,1173.1081103632637,0.0,24.723322628830623,28.52772524837884,3391562.6066198437,0.0,3.410605131648481e-13,4.795053243356051e-13,7.815970093361102e-14,1.7053025658242404e-13,4.795053243356051e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
